FP,weighted_recall,K,tool,sw_version,min_version,p,l,clmn,tag_size,map_size_G,kmer_cnt,kmer_l_0,kmer_l_1,kmers_included,prct_included,
0.030872846,0.67225723,15,us,17.4,3,3,1,7,2,78,14026601864,6654711288,0,0,6654711288,0.474435031
0.043153284,0.695594249,15,us,17.4,3,3,2,7,2,114,14026601864,6392473504,6113148011,0,7999975120,0.570343067
0.050254249,0.705097656,15,us,17.4,3,3,3,7,2,135,14026601864,6070659713,5829005397,5384220230,7999990639,0.570344173
0.036283319,0.680494779,15,us,17.4,3,3,1,10,2,95,14026601864,7999997598,0,0,7999997598,0.570344669
0.049802751,0.699977364,15,us,17.4,3,3,2,10,2,120,14026601864,6856235657,6684209717,0,7999966400,0.570342445
0.056429718,0.706753512,15,us,17.4,3,3,3,10,2,148,14026601864,6650272090,6492900184,6557461213,7999751485,0.570327123
,,,,,,,,,,,,,,,,
0.041263294,0.694649936,15,us,17.4,3,3,2,7,1,114,14026601864,6321799303,6001251256,0,7999918780,0.57033905
0.043153284,0.695594249,15,us,17.4,3,3,2,7,2,114,14026601864,6392473504,6113148011,0,7999975120,0.570343067
0.04592377,0.696743244,15,us,17.4,3,3,2,7,3,114,14026601864,6452987328,6176482947,0,7999740445,0.570326336
,,,,,,,,,,,,,,,,
0.032834836,0.67809861,15,us,17.4,3,3,2,4,2,76,14026601864,4170492938,3976074763,0,5522668443,0.393728181
0.043153284,0.695594249,15,us,17.4,3,3,2,7,2,114,14026601864,6392473504,6113148011,0,7999975120,0.570343067
0.049802751,0.699977364,15,us,17.4,3,3,2,10,2,120,14026601864,6856235657,6684209717,0,7999966400,0.570342445
0.054560727,0.702475942,15,us,17.4,3,3,2,13,2,125,14026601864,7119283185,7003516882,0,7999741343,0.57032640
0.058478708,0.704312342,15,us,17.4,3,3,2,16,2,128,14026601864,7285998454,7202683449,0,7999980028,0.570343416
,,,,,,,,,,,,,,,,
0.043153284,0.695594249,15,us,17.4,3,3,2,7,2,114,14026601864,6392473504,6113148011,,7999975120,0.570343067
0.039017805,0.688790965,14,us,17.4,3,3,2,16,2,73,14026601864,4121906631,4113535803,,5311534414,0.378675781